Angle,Rd,Tt
0.008333333333333333,0.01855372226150044,0.7628862022421881
0.025,0.01967060011218375,0.7005102902468816
0.041666666666666664,0.019090437377039804,0.611246806394346
0.05833333333333333,0.020194729357711515,0.5135725932057633
0.075,0.020035337773433113,0.42966887727013253
0.09166666666666666,0.019585140554050105,0.35629337195833605
0.10833333333333332,0.019605100274303594,0.29781984140321904
0.125,0.020302083955579937,0.25141810261228936
0.14166666666666666,0.020259747234913524,0.20898902802556302
0.15833333333333333,0.020156822587394586,0.18015818568503475
0.175,0.0213390114607306,0.1545111958812435
0.19166666666666665,0.020339690426810598,0.1350544029728834
0.20833333333333331,0.021445379493957556,0.11675316022743927
0.225,0.02137005643643307,0.10134859901989487
0.24166666666666667,0.021038097052081116,0.08933821540578225
0.2583333333333333,0.021139768119741057,0.07819117269080929
0.275,0.02113200616829533,0.06957728317580762
0.29166666666666663,0.02037743372376589,0.06099300311737973
0.3083333333333333,0.019911868440982035,0.05455917961005053
0.325,0.019402577605090055,0.04742563196970383
0.3416666666666666,0.018915304519673496,0.04082558629050611
0.35833333333333334,0.01746280338677108,0.03494509166385065
0.375,0.016790959928520314,0.02978786294435098
0.3916666666666666,0.01461230172060765,0.02483094735229138
0.4083333333333333,0.01249265689713306,0.02002388191184846
0.425,0.010644501601084664,0.015207212231729023
0.4416666666666666,0.007955125021292886,0.010901592698716859
0.4583333333333333,0.005516468249740631,0.007374023155727134
0.475,0.0032341788741930494,0.0038980256796842735
0.49166666666666664,0.0010263265809705613,0.001092497083928214
